1-state,2-city,3-street,4-number
RJ,Rio de Janeiro,R. Casa Nova,115
RJ,Rio de Janeiro,Rua Olinda Ellis,661
RJ,Rio de Janeiro,Rua Nicolino Copia,15
RJ,Rio de Janeiro,R. Balaton,259
RJ,Rio de Janeiro,R. Campo Formoso,474
RJ,Rio de Janeiro,R. Atalaia do Norte,10
RJ,Rio de Janeiro,R. Bolivar Costa,320
RJ,Rio de Janeiro,R. Justo de Morais,80
RJ,Rio de Janeiro,R. Vasco Lima,694
RJ,Rio de Janeiro,R. do Imperio,408
RJ,Itaguai,R. Jonas Costa Pereira,35
RJ,Rio de Janeiro,Estr. da Matriz,200
RJ,Niteroi,R. Prof. Lara Vilela,176
RJ,Niteroi,Rua Mariz e Barros,397
RJ,Niteroi,R. Silva Jardim,148
RJ,Niteroi,R. Rubens Brasil,92
RJ,Niteroi,Av. Rui Barbosa,473
RJ,Sao Goncalo,R. Mal. Floriano Peixoto,"1,682"
MG,Belo Horizonte,R. Estanislau Pedro Boardman,14
MG,Contagem,Rua Palmeiras,316
MG,Contagem,R. Maria das Gracas Teixeira,311
MG,Belo Horizonte,R. Guaporema,106
MG,Belo Horizonte,R. Trezentos E Trinta e Cinco,520
MG,Contagem,R. Vasco de Azevedo,746
MG,Belo Horizonte,R. Albertino Teixeira Dias,22
MG,Belo Horizonte,R. Flamengo,179
MG,Belo Horizonte,R. Jeremias,253
MG,Belo Horizonte,R. Estrela do Norte,335
MG,Belo Horizonte,Rua Magi Salomon,27
MG,Belo Horizonte,R. Curupaiti,218
MG,Belo Horizonte,Rua Antonio Marzinetti,395
MG,Belo Horizonte,R. Siracusa,2
MG,Belo Horizonte,R. Olavo Bilac,2
MG,Belo Horizonte,R. Pinhal,249
MG,Ribeirao das Neves,Av. A,67
MG,Vespasiano,Alameda Gov. Valadares,178
MG,Vespasiano,Av. Um,720
MG,Belo Horizonte,R. Joao Batista Fernandes,70
MG,Belo Horizonte,Rua Ely Murilo Claudio,408
MG,Belo Horizonte,R. Morse Belem Teixeira,18
MG,Belo Horizonte,R. Viana do Castelo,990
MG,Belo Horizonte,R. Jaguari,975
MG,Belo Horizonte,R. Herculano de Freitas,862
MG,Belo Horizonte,Av. Raja Gabaglia,"3,105"
MG,Belo Horizonte,Rod. Br 356,45
MG,Nova Lima,Alameda Conde do Rio Pardo,114
MG,Nova Lima,R. das Cores,355
MG,Nova Lima,Alameda Oscar Niemeyer,"1,276"
MG,Belo Horizonte,Rua Professor Eugenio Murilo Rubiao,199
MG,Belo Horizonte,Av. Bernardo Monteiro,858
MG,Belo Horizonte,R. Itajuba,"2,065"
MG,Belo Horizonte,R. Angola,2
MG,Belo Horizonte,Av. Waldomiro Lobo,822
MG,Belo Horizonte,R. Ipe Roxo,545
MG,Santa Luzia,Alameda Ibirapuera,221
MG,Santa Luzia,Rua Maria Angelica Coelho,149
MG,Santa Luzia,R. Dezesseis,175
MG,Santa Luzia,R. F,237
MG,Santa Luzia,Av. Fortaleza,29
MG,Belo Horizonte,R. Etilandia,82
MG,Belo Horizonte,R. Sebastiana Soares dos Santos,179
MG,Belo Horizonte,R. Padre Guilherme,22
MG,Belo Horizonte,R. Carmo da Mata,520
MG,Belo Horizonte,R. Mangabeira da Serra,370
DF,Brasilia,Qd 12 - Cruzeiro Velho,1
DF,Brasilia,Superquadra Sudoeste 305 - St. Sudoeste - Cruzeiro / Sudoeste / Octogonal,1
DF,Brasilia,Diref Pf Brasilia - Sps - Brasilia,1
DF,Brasilia,3 - St. de Habitacões Individuais Sul QL 2 - St. Hab Ind Sul,1
DF,Brasilia,8 - St. de Habitacões Individuais Sul QI 3 - Brasilia,1
DF,Brasilia,QI 5 - St. de Habitacões Individuais Sul - Lago Sul,1
DF,Brasilia,Superquadra Sul 409 - Asa Sul,1
DF,Brasilia,Edificio Central Park - SGAS I St. de Grandes areas Sul 905 - Brasilia,1
DF,Brasilia,Trecho 2 - SRPN - Brasilia,1
DF,Brasilia,SQNW - Brasilia,1
DF,Brasilia,0 - Shln - Asa Norte,1
DF,Brasilia,Superquadra Norte 416 - Asa Norte,1
DF,Brasilia,407 - Asa Norte Superquadra Norte 407 - Asa Norte,1
DF,Brasilia,Q 3 - St. de Autarquias Norte - Brasilia,1
DF,Brasilia,Trecho 2 - St. de Clubes Esportivos Sul - Brasilia,1
DF,Brasilia,4 - St. de Habitacões Individuais Sul QL 14 - St. Hab Ind Sul,1
DF,Brasilia,QI 23 - St. de Habitacões Individuais Sul - Lago Sul,1
DF,Brasilia,11 - St. de Habitacões Individuais Sul QI 25 - Brasilia,1
DF,Brasilia,Trecho 2 - St. de Clubes Esportivos Sul - Asa Sul,1
DF,Brasilia,Rua 9 - Vila Planalto Acamp Pacheco Fernandes - Brasilia,1
